# Port Sarim, Musa Point
3029 3217 0	2956 3146 0	Pay-fare Captain Tobias 3644		30 Coins		10
2956 3146 0	3029 3217 0	Pay-Fare Customs officer 3648		30 Coins		10

# Ardougne, Brimhaven, Rimmington
2683 3271 0	2772 3234 0	Brimhaven Captain Barnaby 9250		30 Coins		6
2683 3271 0	2915 3225 0	Rimmington Captain Barnaby 9250		30 Coins		6
2772 3234 0	2683 3271 0	Ardougne Captain Barnaby 8764		30 Coins		6
2772 3234 0	2915 3225 0	Rimmington Captain Barnaby 8764		30 Coins		6
2915 3225 0	2683 3271 0	Ardougne Captain Barnaby 8763		30 Coins		6
2915 3225 0	2772 3234 0	Brimhaven Captain Barnaby 8763		30 Coins		6

# Fishing Platform
2720 3301 0	2782 3273 0	Travel Holgart 7789			Sea Slug	9
2782 3273 0	2720 3301 0	Travel Holgart 5070			Sea Slug	9

# Rimmington, Corsair Cove
2909 3226 0	2578 2840 0	Travel Cabin Boy Colin 7967			The Corsair Curse	6
2578 2840 0	2909 3226 0	Travel Cabin Boy Colin 7967			The Corsair Curse	6

# Digsite, Fossil Island
3362 3445 0	3724 3807 0	Quick-Travel Barge guard 8012			Bone Voyage	12
3724 3807 0	3362 3445 0	Travel Rowboat 30914			Bone Voyage	12

# Lady of the Waves: Cairn Isle, Port Khazard, Port Sarim
2763 2960 1	2680 3150 0	Talk-to Captain Shanks 5364		50 Coins		10
2763 2960 1	3050 3192 0	Talk-to Captain Shanks 5364		50 Coins		10
2763 2960 1	3047 3235 0	Talk-to Captain Shanks 5364		50 Coins		10

# Post Phasmatys, Braindeath Island
3680 3536 0	2162 5114 1	Talk-to Pirate Pete 601			Rum Deal	9
2162 5114 1	3680 3536 0	Talk-to Pirate Pete 602			Rum Deal	9

# Port Phasmatys, Mos Le'Harmless
3709 3496 0	3684 2953 0	Travel Bill Teach 4016			Cabin Fever	6
3684 2953 0	3709 3496 0	Travel Bill Teach 4016			Cabin Fever	6

# Port Phasmatys, Dragontooth Island
3703 3487 0	3792 3560 0	Travel Ghost captain 3005		25 Ecto-token		6
3792 3560 0	3703 3487 0	Travel Ghost captain 3005				6

# Mort Myre, Mort'ton
3498 3380 0	3522 3285 0	Board Swamp Boaty 6970				18
3499 3380 0	3522 3285 0	Board Swamp Boaty 6970				18
3500 3380 0	3522 3285 0	Board Swamp Boaty 6970				18
3501 3378 0	3522 3285 0	Board Swamp Boaty 6970				18
3501 3379 0	3522 3285 0	Board Swamp Boaty 6970				18
3522 3284 0	3498 3380 0	Quick-board Swamp Boaty 6969		10 Coins		18
3522 3285 0	3498 3380 0	Quick-board Swamp Boaty 6969		10 Coins		18
3522 3286 0	3498 3380 0	Quick-board Swamp Boaty 6969		10 Coins		18

# Rellekka, Miscellania
2629 3693 0	2581 3847 0	Miscellania Sailor 3936			The Fremennik Trials	7
