# X Y Z	X Y Z	menuOption menuTarget objectID	Skill requirements	Item requirements	Quest	Travel time	Info
3033 3389 1	3033 3390 0	Jump Wall 17051	4 Agility				
3032 3389 1	3032 3388 0	Jump Wall 17052	4 Agility				
2556 3073 1	2556 3072 0	Jump Wall 17048	4 Agility				
2556 3074 1	2556 3075 0	Jump Wall 17048	4 Agility				
2936 3355 0	2934 3355 0	Climb-over Crumbling wall 24222	5 Agility				
2934 3355 0	2936 3355 0	Climb-over Crumbling wall 24222	5 Agility				
3246 3179 0	3259 3179 0	Grapple Broken Raft 17068	8 Agility;37 Ranged;19 Strength				
3259 3179 0	3246 3179 0	Grapple Broken Raft 17068	8 Agility;37 Ranged;19 Strength				
2546 2873 0	2546 2871 0	Climb Rocks 31757	10 Agility				
2546 2871 0	2546 2873 0	Climb Rocks 31757	10 Agility				
3033 3390 0	3033 3389 1	Grapple Wall 17049	11 Agility;19 Ranged;37 Strength				
3032 3388 0	3032 3389 1	Grapple Wall 17050	11 Agility;19 Ranged;37 Strength				
2575 3107 0	2575 3112 0	Climb-under Castle wall 16519	16 Agility				
2575 3112 0	2575 3107 0	Climb-into Hole 16520	16 Agility				
2603 3477 0	2598 3477 0	Walk-across Log balance 23274	20 Agility				
2599 3478 0	2603 3477 0	Walk-across Log balance 23274	20 Agility				
2602 3478 0	2598 3477 0	Walk-across Log balance 23274	20 Agility				
2598 3477 0	2603 3477 0	Walk-across Log balance 23274	20 Agility				
2602 3476 0	2598 3477 0	Walk-across Log balance 23274	20 Agility				
2599 3476 0	2603 3477 0	Walk-across Log balance 23274	20 Agility				
3142 3513 0	3137 3516 0	Climb-into Underwall tunnel 16530	21 Agility			7	
3137 3516 0	3142 3513 0	Climb-into Underwall tunnel 16529	21 Agility			7	
2449 3155 0	2444 3165 0	Grapple Rocks 31850	23 Agility				
2948 3309 0	2948 3313 0	Climb-into Underwall tunnel 16527	26 Agility				
2948 3313 0	2948 3309 0	Climb-into Underwall tunnel 16528	26 Agility				
2485 2898 0	2489 2898 0	Climb-down Rocks 31759	30 Agility		Dragon Slayer I		
2489 2898 0	2485 2898 0	Climb-down Rocks 31758	30 Agility		Dragon Slayer I		
3149 3363 0	3150 3363 0	Jump-onto Stepping stone 16533	31 Agility				
3154 3363 0	3153 3363 0	Jump-onto Stepping stone 16533	31 Agility				
3150 3363 0	3151 3363 0	Jump-onto Stepping stone 16533	31 Agility				
3151 3363 0	3152 3363 0	Jump-onto Stepping stone 16533	31 Agility				
3152 3363 0	3154 3363 0	Jump-onto Stepping stone 16533	31 Agility				
3153 3363 0	3152 3363 0	Jump-onto Stepping stone 16533	31 Agility				
3152 3363 0	3151 3363 0	Jump-onto Stepping stone 16533	31 Agility				
3151 3363 0	3149 3363 0	Jump-onto Stepping stone 16533	31 Agility				
