# Origin	Destination	menuOption menuTarget objectID	Items	Quests	Duration	Display info
# Brimhaven						
2760 3238 0	1458 2968 1	Charter;Trader Crewmember;9318	2500 Coins		6	Aldarin
2760 3238 0	2792 3417 1	Charter;Trader Crewmember;9318	460 Coins		6	Catherby
2760 3238 0	1747 3135 1	Charter;Trader Crewmember;9318	2400 Coins		6	Civitas illa Fortis
2760 3238 0	2592 2851 1	Charter;Trader Crewmember;9318	680 Coins		6	Corsair Cove
2760 3238 0	1493 3403 1	Charter;Trader Crewmember;9318	2200 Coins		6	Land's End
2760 3238 0	2957 3158 1	Charter;Trader Crewmember;9318	480 Coins		6	Musa Point
2760 3238 0	3669 2931 1	Charter;Trader Crewmember;9318	1950 Coins	Cabin Fever	6	Mos Le'Harmless
2760 3238 0	2674 3141 1	Charter;Trader Crewmember;9318	400 Coins		6	Port Khazard
2760 3238 0	3705 3503 1	Charter;Trader Crewmember;9318	2900 Coins	Priest in Peril	6	Port Phasmatys
2760 3238 0	1811 3679 1	Charter;Trader Crewmember;9318	2000 Coins		6	Port Piscarilius
2760 3238 0	3038 3189 1	Charter;Trader Crewmember;9318	1600 Coins		6	Port Sarim
2760 3238 0	2142 3125 1	Charter;Trader Crewmember;9318	3200 Coins	Regicide	6	Port Tyras
2760 3238 0	2156 3331 1	Charter;Trader Crewmember;9318	3450 Coins	Song of the Elves	6	Prifddinas
2760 3238 0	2998 3032 1	Charter;Trader Crewmember;9318	400 Coins	The Grand Tree	6	Shipyard
2760 3238 0	1514 2968 1	Charter;Trader Crewmember;9318	1250 Coins		6	Sunset Coast
# Catherby						
2792 3414 0	1458 2968 1	Charter;Trader Crewmember;9342	2500 Coins		6	Aldarin
2792 3414 0	2763 3238 1	Charter;Trader Crewmember;9342	480 Coins		6	Brimhaven
2792 3414 0	1747 3135 1	Charter;Trader Crewmember;9342	2400 Coins		6	Civitas illa Fortis
2792 3414 0	2592 2851 1	Charter;Trader Crewmember;9342	1000 Coins		6	Corsair Cove
2792 3414 0	1493 3403 1	Charter;Trader Crewmember;9342	2200 Coins		6	Land's End
2792 3414 0	2957 3158 1	Charter;Trader Crewmember;9342	480 Coins		6	Musa Point
2792 3414 0	3669 2931 1	Charter;Trader Crewmember;9342	1750 Coins	Cabin Fever	6	Mos Le'Harmless
2792 3414 0	2674 3141 1	Charter;Trader Crewmember;9342	1600 Coins		6	Port Khazard
2792 3414 0	3705 3503 1	Charter;Trader Crewmember;9342	3500 Coins	Priest in Peril	6	Port Phasmatys
2792 3414 0	1811 3679 1	Charter;Trader Crewmember;9342	2000 Coins		6	Port Piscarilius
2792 3414 0	3038 3189 1	Charter;Trader Crewmember;9342	1000 Coins		6	Port Sarim
2792 3414 0	2142 3125 1	Charter;Trader Crewmember;9342	3200 Coins	Regicide	6	Port Tyras
2792 3414 0	2156 3331 1	Charter;Trader Crewmember;9342	3560 Coins	Song of the Elves	6	Prifddinas
2792 3414 0	2998 3032 1	Charter;Trader Crewmember;9342	1600 Coins	The Grand Tree	6	Shipyard
2792 3414 0	1514 2968 1	Charter;Trader Crewmember;9342	1250 Coins		6	Sunset Coast
