# X Y Z	X Y Z	menuOption menuTarget objectID	Skill requirements	Item IDs	Quest	Wait	Destination	Consumable	Wilderness Level	Info
# Ardougne Cloaks (2-4's farm teleport is limited to 3,5, or infinite times - can this be validated?)										
	2606 3221 0			13121;13122;13123;13124;20760		4	Ardougne cloak: Kandarin Monastery	F	20	
	2664 3374 0			13124;20760		4	Ardougne cloak: Farm	F	20	
# Karamja Gloves										
	2840 9387 0			11140;13103		4	Karamja gloves	F	20	
# Desert Amulets (2 and 3 have one teleport per day, 4 is unlimited)										
	3426 2927 0			13136		4	Desert amulet	F	20	
# Morytania Legs (2 and 3 have 5 teleports per day to slime, 4 is unlimited)										
	3683 9888 0			13115		4	Morytania legs: Slime Pit	F	20	
	3482 3230 0			13114;13115		4	Morytania legs: Burgh de Rott	F	20	
# Fremennik sea boots (1,2,3 have 1 teleport per day, 4 is unlimited)										
	2643 3675 0			13132		4	Fremennik sea boots	F	20	
# Kandarin headgear (3 has 1 teleport per day, 4 is unlimited)										
	2729 3409 0			13140		4	Kandarin headgear	F	20	
# Wilderness Sword (3 has 1 teleport per day, 4 is unlimited)										
	3377 3890 0			13111		4	Wilderness sword	F	20	
# Western Banner (3 has 1 teleport per day, 4 is unlimited)										
	2339 3649 0			13144		4	Western banner	F	20	
# Explorer's Ring (2 has 3 teleports per day, 3 and 4 are unlimited)										
	3052 3291 0			13127;13128		4	Explorer's ring	F	20	
# Rada's Blessing (Kourend Woodland, 1 has 3 teleports, 2 has 5 teleports, 3 and 4 have unlimited. For Mount Karuulum, 3 has 3 teleports and 4 has unlimited)										
	1554 3457 0			22945;22947		4	Rada's blessing: Kourend Woodland	F	20	
	1311 3799 0			22947		4	Rada's blessing: Mount Karuulm	F	20	
										
# Games Necklace										
	2520 3571 0			3853;3855;3857;3859;3861;3863;3865;3867		4	Games necklace: Barbarian Outpost	T	20	
	2898 3553 0			3853;3855;3857;3859;3861;3863;3865;3867		4	Games necklace: Burthorpe	T	20	
	2965 4254 2			3853;3855;3857;3859;3861;3863;3865;3867		4	Games necklace: Corporeal Beast	T	20	
	3245 9500 2			3853;3855;3857;3859;3861;3863;3865;3867		4	Games necklace: Tears of Guthix	T	20	
	1631 3940 0			3853;3855;3857;3859;3861;3863;3865;3867		4	Games necklace: Wintertodt	T	20	
										
# Ring of Dueling (1-8)										
	3315 3235 0			2566;2564;2562;2560;2558;2556;2554;2552		4	Ring of dueling: PvP Arena	T	20	
	2440 3090 0			2566;2564;2562;2560;2558;2556;2554;2552		4	Ring of dueling: Castle Wars	T	20	
