# Origin	Destination	menuOption menuTarget objectID	Skills	Item IDs	Quests	Duration	isMembers	Display info
# Lumbridge cellar							Y	
3319 9615 0	3232 9610 0	Cellar;Mistag;7299			Death to the Dorgeshuun		Y	
3319 9615 0	3245 9648 0	Watermill;Mistag;7299			Death to the Dorgeshuun		Y	
3229 9610 0	3313 9613 0	Mines;Kazgar;7301			Death to the Dorgeshuun		Y	
3229 9610 0	3245 9648 0	Watermill;Kazgar;7301			Death to the Dorgeshuun		Y	
3245 9648 0	3232 9610 0	Cellar;Dartog;997			Death to the Dorgeshuun		Y	
3245 9648 0	3313 9613 0	Mines;Dartog;997			Death to the Dorgeshuun		Y	
3319 9615 0	3232 9610 0	Follow;Mistag;7298			The Lost Tribe		Y	
3229 9610 0	3313 9613 0	Follow;Kazgar;7300			The Lost Tribe		Y	
# Tree gnome village							Y	
2503 3193 0	2515 3159 0	Follow;Elkoy;4968			Tree Gnome Village		Y	
2515 3159 0	2503 3193 0	Follow;Elkoy;4968			Tree Gnome Village		Y	
# Quetzals							Y	
3280 3412 0	1700 3141 0	Travel;Primio;12888			Children of the Sun	4	Y	Varlemore
1703 3140 0	3280 3412 0	Travel;Primio;12889			Children of the Sun	4	Y	Varrock
