# Origin	Destination	menuOption menuTarget objectID	Skills	Quests	Duration	Display info	Varbits
# Tree Gnome Village							
2543 3167 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2544 3167 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2545 3167 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2546 3167 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2547 3169 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2547 3170 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2547 3171 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2546 3172 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2545 3172 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2544 3172 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2543 3172 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2542 3171 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2542 3170 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2542 3169 0		Travel;Spirit Tree;1293		Tree Gnome Village			
2542 3168 0		Travel;Spirit Tree;1293		Tree Gnome Village			
# Gnome Stronghold							
2460 3444 0		Travel;Spirit Tree;1294		The Grand Tree			
2461 3444 0		Travel;Spirit Tree;1294		The Grand Tree			
2462 3444 0		Travel;Spirit Tree;1294		The Grand Tree			
2463 3444 0		Travel;Spirit Tree;1294		The Grand Tree			
2464 3446 0		Travel;Spirit Tree;1294		The Grand Tree			
2464 3447 0		Travel;Spirit Tree;1294		The Grand Tree			
2464 3448 0		Travel;Spirit Tree;1294		The Grand Tree			
2463 3449 0		Travel;Spirit Tree;1294		The Grand Tree			
2462 3449 0		Travel;Spirit Tree;1294		The Grand Tree			
2461 3449 0		Travel;Spirit Tree;1294		The Grand Tree			
2460 3449 0		Travel;Spirit Tree;1294		The Grand Tree			
2459 3448 0		Travel;Spirit Tree;1294		The Grand Tree			
2459 3446 0		Travel;Spirit Tree;1294		The Grand Tree			
2459 3445 0		Travel;Spirit Tree;1294		The Grand Tree			
# Battlefield of Khazard							
2555 3259 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
2556 3259 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
2557 3260 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
2557 3261 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
2556 3262 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
2555 3262 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
2554 3261 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
2554 3260 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
# Grand Exchange							
3184 3508 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
3185 3508 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
3186 3509 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
3186 3510 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
3184 3511 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
3185 3511 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
3183 3509 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
3183 3510 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
# Feldip Hills							
2486 2849 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
2487 2849 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
2488 2850 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
2488 2851 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
2487 2852 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
2486 2852 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
