# Destination	Item IDs	Skills	Quests	Wilderness level	Varbits	isMembers	Duration	Display info
# Standard Spellbook - Varbit 4070=0								
# Varrock Teleport								
3213 3424 0	554 556 563;554 563 4696;556 563 4699;563 4697;556 563 4694;554 563 4695;554 563 1381;554 563 20730;554 563 20736;556 563 1387;556 563 11787;556 563 3053;563 11998;556 563 20714;563 1381 20714;563 20730 20714;563 20736 20714	25 Magic		19	4070=0		4	Varrock Teleport
# Varbit 4480 is DIARY_VARROCK_MEDIUM								
3164 3478 0	554 556 563;554 563 4696;556 563 4699;563 4697;556 563 4694;554 563 4695;554 563 1381;554 563 20730;554 563 20736;556 563 1387;556 563 11787;556 563 3053;563 11998;556 563 20714;563 1381 20714;563 20730 20714;563 20736 20714	25 Magic		19	4070=0;4480=1		4	Varrock Teleport: Grand Exchange
								
# Lumbridge Teleport								
3221 3218 0	556 563 557;563 4696;556 563 4698;556 563 4699;557 563 4697;557 563 4695;557 563 1381;557 563 20730;557 563 11998;556 563 1385;556 563 6562;556 563 3053;563 20736	31 Magic		19	4070=0		4	Lumbridge Teleport
								
# Falador Teleport								
2965 3378 0	555 556 563;555 563 4696;556 563 4698;555 563 4697;556 563 4694;563 4695;555 563 1381;555 563 11998;555 563 20736;556 563 1383;556 563 6562;556 563 11787;556 563 21006;563 20730;556 563 25574;563 1381 25574;563 11998 25574;563 20736 25574	37 Magic		19	4070=0		4	Falador Teleport
								
# Teleport to House - These depend on the current player's home location  determined by varbit 2187								
# 1 - Rimmington								
2952 3224 0	563 556 557;563 4696;563 556 4698;563 556 4699;563 557 4697;563 557 4695;563 557 1381;563 557 20730;563 557 11998;563 556 1385;563 556 6562;563 556 3053;563 20736	40 Magic		19	4070=0;2187=1	Y	4	Teleport to House: Outside
# 2 - Taverly								
2892 3465 0	563 556 557;563 4696;563 556 4698;563 556 4699;563 557 4697;563 557 4695;563 557 1381;563 557 20730;563 557 11998;563 556 1385;563 556 6562;563 556 3053;563 20736	40 Magic		19	4070=0;2187=2	Y	4	Teleport to House: Outside
# 3 - Pollnivneach								
3339 3001 0	563 556 557;563 4696;563 556 4698;563 556 4699;563 557 4697;563 557 4695;563 557 1381;563 557 20730;563 557 11998;563 556 1385;563 556 6562;563 556 3053;563 20736	40 Magic		19	4070=0;2187=3	Y	4	Teleport to House: Outside
# 4 - Rellekka								
2669 3629 0	563 556 557;563 4696;563 556 4698;563 556 4699;563 557 4697;563 557 4695;563 557 1381;563 557 20730;563 557 11998;563 556 1385;563 556 6562;563 556 3053;563 20736	40 Magic		19	4070=0;2187=4	Y	4	Teleport to House: Outside
# 5 - Brimhaven								
